06460 Alzheimer disease (60)

  hsa:2915 GRM5; glutamate metabotropic receptor 5
  hsa:374291 NDUFS7; NADH:ubiquinone oxidoreductase core subunit S7
  hsa:4728 NDUFS8; NADH:ubiquinone oxidoreductase core subunit S8
  hsa:4723 NDUFV1; NADH:ubiquinone oxidoreductase core subunit V1
  hsa:4694 NDUFA1; NADH:ubiquinone oxidoreductase subunit A1
  hsa:4698 NDUFA5; NADH:ubiquinone oxidoreductase subunit A5
  hsa:4700 NDUFA6; NADH:ubiquinone oxidoreductase subunit A6
  hsa:126328 NDUFA11; NADH:ubiquinone oxidoreductase subunit A11
  hsa:4714 NDUFB8; NADH:ubiquinone oxidoreductase subunit B8
  hsa:1139 CHRNA7; cholinergic receptor nicotinic alpha 7 subunit
  hsa:4137 MAPT; microtubule associated protein tau
  hsa:6389 SDHA; succinate dehydrogenase complex flavoprotein subunit A
  hsa:4514 COX3; cytochrome c oxidase subunit III
  hsa:4512 COX1; cytochrome c oxidase subunit I
  hsa:4513 COX2; cytochrome c oxidase subunit II
  hsa:1340 COX6B1; cytochrome c oxidase subunit 6B1
  hsa:3798 KIF5A; kinesin family member 5A
  hsa:3800 KIF5C; kinesin family member 5C
  hsa:7846 TUBA1A; tubulin alpha 1a
  hsa:51807 TUBA8; tubulin alpha 8
  hsa:203068 TUBB; tubulin beta class I
  hsa:7280 TUBB2A; tubulin beta 2A class IIa
  hsa:347733 TUBB2B; tubulin beta 2B class IIb
  hsa:10381 TUBB3; tubulin beta 3 class III
  hsa:10382 TUBB4A; tubulin beta 4A class IVa
 
06167 Human cytomegalovirus (HCMV) (56)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5159 PDGFRB; platelet derived growth factor receptor beta
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:3479 IGF1; insulin like growth factor 1
  hsa:3480 IGF1R; insulin like growth factor 1 receptor
  hsa:7248 TSC1; TSC complex subunit 1
  hsa:7249 TSC2; TSC complex subunit 2
  hsa:6009 RHEB; Ras homolog, mTORC1 binding
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:5336 PLCG2; phospholipase C gamma 2
  hsa:5530 PPP3CA; protein phosphatase 3 catalytic subunit alpha
  hsa:5532 PPP3CB; protein phosphatase 3 catalytic subunit beta
  hsa:4775 NFATC3; nuclear factor of activated T cells 3
  hsa:5743 PTGS2; prostaglandin-endoperoxide synthase 2
  hsa:1812 DRD1; dopamine receptor D1
  hsa:2778 GNAS; GNAS complex locus
  hsa:111 ADCY5; adenylate cyclase 5
  hsa:5567 PRKACB; protein kinase cAMP-activated catalytic subunit beta
  hsa:109 ADCY3; adenylate cyclase 3
  hsa:1524 CX3CR1; C-X3-C motif chemokine receptor 1
  hsa:2770 GNAI1; G protein subunit alpha i1
  hsa:2775 GNAO1; G protein subunit alpha o1
  hsa:1499 CTNNB1; catenin beta 1
  hsa:2782 GNB1; G protein subunit beta 1
  hsa:10681 GNB5; G protein subunit beta 5
  hsa:51764 GNG13; G protein subunit gamma 13
  hsa:5294 PIK3CG; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
  hsa:5578 PRKCA; protein kinase C alpha
  hsa:5579 PRKCB; protein kinase C beta
  hsa:5582 PRKCG; protein kinase C gamma
  hsa:3105 HLA-A; major histocompatibility complex, class I, A
  hsa:3106 HLA-B; major histocompatibility complex, class I, B
  hsa:3135 HLA-G; major histocompatibility complex, class I, G
  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
  hsa:3685 ITGAV; integrin subunit alpha V
  hsa:3690 ITGB3; integrin subunit beta 3
  hsa:5879 RAC1; Rac family small GTPase 1
  hsa:5881 RAC3; Rac family small GTPase 3
 
06463 Parkinson disease (55)

  hsa:2911 GRM1; glutamate metabotropic receptor 1
  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:3708 ITPR1; inositol 1,4,5-trisphosphate receptor type 1
  hsa:5578 PRKCA; protein kinase C alpha
  hsa:5579 PRKCB; protein kinase C beta
  hsa:5582 PRKCG; protein kinase C gamma
  hsa:5071 PRKN; parkin RBR E3 ubiquitin protein ligase
  hsa:775 CACNA1C; calcium voltage-gated channel subunit alpha1 C
  hsa:776 CACNA1D; calcium voltage-gated channel subunit alpha1 D
  hsa:778 CACNA1F; calcium voltage-gated channel subunit alpha1 F
  hsa:773 CACNA1A; calcium voltage-gated channel subunit alpha1 A
  hsa:774 CACNA1B; calcium voltage-gated channel subunit alpha1 B
  hsa:777 CACNA1E; calcium voltage-gated channel subunit alpha1 E
  hsa:8913 CACNA1G; calcium voltage-gated channel subunit alpha1 G
  hsa:8912 CACNA1H; calcium voltage-gated channel subunit alpha1 H
  hsa:8911 CACNA1I; calcium voltage-gated channel subunit alpha1 I
  hsa:2861 GPR37; G protein-coupled receptor 37
  hsa:5718 PSMD12; proteasome 26S subunit, non-ATPase 12
  hsa:9451 EIF2AK3; eukaryotic translation initiation factor 2 alpha kinase 3
  hsa:27429 HTRA2; HtrA serine peptidase 2
  hsa:4217 MAP3K5; mitogen-activated protein kinase kinase kinase 5
  hsa:7054 TH; tyrosine hydroxylase
  hsa:4128 MAOA; monoamine oxidase A
  hsa:4129 MAOB; monoamine oxidase B
  hsa:6571 SLC18A2; solute carrier family 18 member A2
  hsa:4540 ND5; NADH dehydrogenase subunit 5
  hsa:4719 NDUFS1; NADH:ubiquinone oxidoreductase core subunit S1
  hsa:4720 NDUFS2; NADH:ubiquinone oxidoreductase core subunit S2
  hsa:4722 NDUFS3; NADH:ubiquinone oxidoreductase core subunit S3
  hsa:4724 NDUFS4; NADH:ubiquinone oxidoreductase subunit S4
  hsa:374291 NDUFS7; NADH:ubiquinone oxidoreductase core subunit S7
  hsa:4728 NDUFS8; NADH:ubiquinone oxidoreductase core subunit S8
  hsa:4723 NDUFV1; NADH:ubiquinone oxidoreductase core subunit V1
  hsa:4694 NDUFA1; NADH:ubiquinone oxidoreductase subunit A1
  hsa:4698 NDUFA5; NADH:ubiquinone oxidoreductase subunit A5
  hsa:4700 NDUFA6; NADH:ubiquinone oxidoreductase subunit A6
  hsa:126328 NDUFA11; NADH:ubiquinone oxidoreductase subunit A11
  hsa:4714 NDUFB8; NADH:ubiquinone oxidoreductase subunit B8
  hsa:6389 SDHA; succinate dehydrogenase complex flavoprotein subunit A
  hsa:1537 CYC1; cytochrome c1
  hsa:10540 DCTN2; dynactin subunit 2
  hsa:55567 DNAH3; dynein axonemal heavy chain 3
  hsa:196385 DNAH10; dynein axonemal heavy chain 10
  hsa:8632 DNAH17; dynein axonemal heavy chain 17
  hsa:7846 TUBA1A; tubulin alpha 1a
  hsa:51807 TUBA8; tubulin alpha 8
  hsa:203068 TUBB; tubulin beta class I
  hsa:7280 TUBB2A; tubulin beta 2A class IIa
  hsa:347733 TUBB2B; tubulin beta 2B class IIb
  hsa:10381 TUBB3; tubulin beta 3 class III
  hsa:10382 TUBB4A; tubulin beta 4A class IVa
  hsa:3798 KIF5A; kinesin family member 5A
  hsa:3800 KIF5C; kinesin family member 5C
  hsa:2944 GSTM1; glutathione S-transferase mu 1
 
06166 Human papillomavirus (HPV) (47)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:5159 PDGFRB; platelet derived growth factor receptor beta
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:3479 IGF1; insulin like growth factor 1
  hsa:3480 IGF1R; insulin like growth factor 1 receptor
  hsa:7248 TSC1; TSC complex subunit 1
  hsa:7249 TSC2; TSC complex subunit 2
  hsa:6009 RHEB; Ras homolog, mTORC1 binding
  hsa:7337 UBE3A; ubiquitin protein ligase E3A
  hsa:5728 PTEN; phosphatase and tensin homolog
  hsa:5515 PPP2CA; protein phosphatase 2 catalytic subunit alpha
  hsa:5518 PPP2R1A; protein phosphatase 2 scaffold subunit Aalpha
  hsa:5519 PPP2R1B; protein phosphatase 2 scaffold subunit Abeta
  hsa:5528 PPP2R5D; protein phosphatase 2 regulatory subunit B'delta
  hsa:28514 DLL1; delta like canonical Notch ligand 1
  hsa:23462 HEY1; hes related family bHLH transcription factor with YRPW motif 1
  hsa:3516 RBPJ; recombination signal binding protein for immunoglobulin kappa J region
  hsa:55534 MAML3; mastermind like transcriptional coactivator 3
  hsa:1387 CREBBP; CREB binding protein
  hsa:2033 EP300; E1A binding protein p300
  hsa:5610 EIF2AK2; eukaryotic translation initiation factor 2 alpha kinase 2
  hsa:1108 CHD4; chromodomain helicase DNA binding protein 4
  hsa:3105 HLA-A; major histocompatibility complex, class I, A
  hsa:3106 HLA-B; major histocompatibility complex, class I, B
  hsa:3135 HLA-G; major histocompatibility complex, class I, G
  hsa:10134 BCAP31; B cell receptor associated protein 31
  hsa:472 ATM; ATM serine/threonine kinase
  hsa:545 ATR; ATR serine/threonine kinase
  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
  hsa:5934 RBL2; RB transcriptional corepressor like 2
  hsa:1739 DLG1; discs large MAGUK scaffold protein 1
  hsa:10207 PATJ; PATJ crumbs cell polarity complex component
  hsa:7015 TERT; telomerase reverse transcriptase
 
06464 Amyotrophic lateral sclerosis (46)

  hsa:2915 GRM5; glutamate metabotropic receptor 5
  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:3708 ITPR1; inositol 1,4,5-trisphosphate receptor type 1
  hsa:5718 PSMD12; proteasome 26S subunit, non-ATPase 12
  hsa:6647 SOD1; superoxide dismutase 1
  hsa:9451 EIF2AK3; eukaryotic translation initiation factor 2 alpha kinase 3
  hsa:5071 PRKN; parkin RBR E3 ubiquitin protein ligase
  hsa:3098 HK1; hexokinase 1
  hsa:9542 NRG2; neuregulin 2
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:4540 ND5; NADH dehydrogenase subunit 5
  hsa:4719 NDUFS1; NADH:ubiquinone oxidoreductase core subunit S1
  hsa:4720 NDUFS2; NADH:ubiquinone oxidoreductase core subunit S2
  hsa:4722 NDUFS3; NADH:ubiquinone oxidoreductase core subunit S3
  hsa:4724 NDUFS4; NADH:ubiquinone oxidoreductase subunit S4
  hsa:374291 NDUFS7; NADH:ubiquinone oxidoreductase core subunit S7
  hsa:4728 NDUFS8; NADH:ubiquinone oxidoreductase core subunit S8
  hsa:4723 NDUFV1; NADH:ubiquinone oxidoreductase core subunit V1
  hsa:4694 NDUFA1; NADH:ubiquinone oxidoreductase subunit A1
  hsa:4698 NDUFA5; NADH:ubiquinone oxidoreductase subunit A5
  hsa:4700 NDUFA6; NADH:ubiquinone oxidoreductase subunit A6
  hsa:126328 NDUFA11; NADH:ubiquinone oxidoreductase subunit A11
  hsa:4714 NDUFB8; NADH:ubiquinone oxidoreductase subunit B8
  hsa:10540 DCTN2; dynactin subunit 2
  hsa:55567 DNAH3; dynein axonemal heavy chain 3
  hsa:196385 DNAH10; dynein axonemal heavy chain 10
  hsa:8632 DNAH17; dynein axonemal heavy chain 17
  hsa:7846 TUBA1A; tubulin alpha 1a
  hsa:51807 TUBA8; tubulin alpha 8
  hsa:203068 TUBB; tubulin beta class I
  hsa:7280 TUBB2A; tubulin beta 2A class IIa
  hsa:347733 TUBB2B; tubulin beta 2B class IIb
  hsa:10381 TUBB3; tubulin beta 3 class III
  hsa:10382 TUBB4A; tubulin beta 4A class IVa
  hsa:60 ACTB; actin beta
  hsa:71 ACTG1; actin gamma 1
  hsa:10482 NXF1; nuclear RNA export factor 1
  hsa:55746 NUP133; nucleoporin 133
  hsa:57122 NUP107; nucleoporin 107
  hsa:79023 NUP37; nucleoporin 37
  hsa:23511 NUP188; nucleoporin 188
  hsa:9631 NUP155; nucleoporin 155
  hsa:8021 NUP214; nucleoporin 214
 
06164 Kaposi sarcoma-associated herpesvirus (KSHV) (45)

  hsa:4233 MET; MET proto-oncogene, receptor tyrosine kinase
  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:3479 IGF1; insulin like growth factor 1
  hsa:3480 IGF1R; insulin like growth factor 1 receptor
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:7471 WNT1; Wnt family member 1
  hsa:1857 DVL3; dishevelled segment polarity protein 3
  hsa:1499 CTNNB1; catenin beta 1
  hsa:6934 TCF7L2; transcription factor 7 like 2
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:5336 PLCG2; phospholipase C gamma 2
  hsa:5530 PPP3CA; protein phosphatase 3 catalytic subunit alpha
  hsa:5532 PPP3CB; protein phosphatase 3 catalytic subunit beta
  hsa:4775 NFATC3; nuclear factor of activated T cells 3
  hsa:1387 CREBBP; CREB binding protein
  hsa:2033 EP300; E1A binding protein p300
  hsa:11326 VSIG4; V-set and immunoglobulin domain containing 4
  hsa:5610 EIF2AK2; eukaryotic translation initiation factor 2 alpha kinase 2
  hsa:2782 GNB1; G protein subunit beta 1
  hsa:10681 GNB5; G protein subunit beta 5
  hsa:51764 GNG13; G protein subunit gamma 13
  hsa:5294 PIK3CG; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
  hsa:57580 PREX1; phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1
  hsa:5879 RAC1; Rac family small GTPase 1
  hsa:3105 HLA-A; major histocompatibility complex, class I, A
  hsa:3106 HLA-B; major histocompatibility complex, class I, B
  hsa:3135 HLA-G; major histocompatibility complex, class I, G
  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
 
06263 Hepatocellular carcinoma (45)

  hsa:6654 SOS1; SOS Ras/Rac guanine nucleotide exchange factor 1
  hsa:6655 SOS2; SOS Ras/Rho guanine nucleotide exchange factor 2
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:7531 YWHAE; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein epsilon
  hsa:7532 YWHAG; tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein gamma
  hsa:3479 IGF1; insulin like growth factor 1
  hsa:3480 IGF1R; insulin like growth factor 1 receptor
  hsa:4233 MET; MET proto-oncogene, receptor tyrosine kinase
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:5728 PTEN; phosphatase and tensin homolog
  hsa:7471 WNT1; Wnt family member 1
  hsa:1857 DVL3; dishevelled segment polarity protein 3
  hsa:1499 CTNNB1; catenin beta 1
  hsa:6934 TCF7L2; transcription factor 7 like 2
  hsa:4609 MYC; MYC proto-oncogene, bHLH transcription factor
  hsa:4089 SMAD4; SMAD family member 4
  hsa:5336 PLCG2; phospholipase C gamma 2
  hsa:5578 PRKCA; protein kinase C alpha
  hsa:5579 PRKCB; protein kinase C beta
  hsa:5582 PRKCG; protein kinase C gamma
  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:1387 CREBBP; CREB binding protein
  hsa:2033 EP300; E1A binding protein p300
  hsa:1654 DDX3X; DEAD-box helicase 3 X-linked
  hsa:5610 EIF2AK2; eukaryotic translation initiation factor 2 alpha kinase 2
  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:2944 GSTM1; glutathione S-transferase mu 1
  hsa:894 CCND2; cyclin D2
  hsa:1021 CDK6; cyclin dependent kinase 6
  hsa:7015 TERT; telomerase reverse transcriptase
  hsa:1960 EGR3; early growth response 3
 
06124 Chemokine signaling (viruses) (41)

  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:5336 PLCG2; phospholipase C gamma 2
  hsa:5530 PPP3CA; protein phosphatase 3 catalytic subunit alpha
  hsa:5532 PPP3CB; protein phosphatase 3 catalytic subunit beta
  hsa:4775 NFATC3; nuclear factor of activated T cells 3
  hsa:5743 PTGS2; prostaglandin-endoperoxide synthase 2
  hsa:5578 PRKCA; protein kinase C alpha
  hsa:5579 PRKCB; protein kinase C beta
  hsa:5582 PRKCG; protein kinase C gamma
  hsa:673 BRAF; B-Raf proto-oncogene, serine/threonine kinase
  hsa:5894 RAF1; Raf-1 proto-oncogene, serine/threonine kinase
  hsa:5604 MAP2K1; mitogen-activated protein kinase kinase 1
  hsa:5605 MAP2K2; mitogen-activated protein kinase kinase 2
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:1812 DRD1; dopamine receptor D1
  hsa:2778 GNAS; GNAS complex locus
  hsa:111 ADCY5; adenylate cyclase 5
  hsa:5567 PRKACB; protein kinase cAMP-activated catalytic subunit beta
  hsa:109 ADCY3; adenylate cyclase 3
  hsa:1524 CX3CR1; C-X3-C motif chemokine receptor 1
  hsa:2770 GNAI1; G protein subunit alpha i1
  hsa:2775 GNAO1; G protein subunit alpha o1
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:10000 AKT3; AKT serine/threonine kinase 3
  hsa:1499 CTNNB1; catenin beta 1
  hsa:2782 GNB1; G protein subunit beta 1
  hsa:10681 GNB5; G protein subunit beta 5
  hsa:51764 GNG13; G protein subunit gamma 13
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:5879 RAC1; Rac family small GTPase 1
  hsa:5881 RAC3; Rac family small GTPase 3
  hsa:5058 PAK1; p21 (RAC1) activated kinase 1
  hsa:8517 IKBKG; inhibitor of nuclear factor kappa B kinase regulatory subunit gamma
  hsa:5294 PIK3CG; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
  hsa:57580 PREX1; phosphatidylinositol-3,4,5-trisphosphate dependent Rac exchange factor 1
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
 
06461 Huntington disease (41)

  hsa:2915 GRM5; glutamate metabotropic receptor 5
  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:3708 ITPR1; inositol 1,4,5-trisphosphate receptor type 1
  hsa:3064 HTT; huntingtin
  hsa:775 CACNA1C; calcium voltage-gated channel subunit alpha1 C
  hsa:776 CACNA1D; calcium voltage-gated channel subunit alpha1 D
  hsa:778 CACNA1F; calcium voltage-gated channel subunit alpha1 F
  hsa:773 CACNA1A; calcium voltage-gated channel subunit alpha1 A
  hsa:774 CACNA1B; calcium voltage-gated channel subunit alpha1 B
  hsa:777 CACNA1E; calcium voltage-gated channel subunit alpha1 E
  hsa:8913 CACNA1G; calcium voltage-gated channel subunit alpha1 G
  hsa:8912 CACNA1H; calcium voltage-gated channel subunit alpha1 H
  hsa:8911 CACNA1I; calcium voltage-gated channel subunit alpha1 I
  hsa:6804 STX1A; syntaxin 1A
  hsa:2902 GRIN1; glutamate ionotropic receptor NMDA type subunit 1
  hsa:2903 GRIN2A; glutamate ionotropic receptor NMDA type subunit 2A
  hsa:2904 GRIN2B; glutamate ionotropic receptor NMDA type subunit 2B
  hsa:2906 GRIN2D; glutamate ionotropic receptor NMDA type subunit 2D
  hsa:1742 DLG4; discs large MAGUK scaffold protein 4
  hsa:5718 PSMD12; proteasome 26S subunit, non-ATPase 12
  hsa:6885 MAP3K7; mitogen-activated protein kinase kinase kinase 7
  hsa:23118 TAB2; TGF-beta activated kinase 1 (MAP3K7) binding protein 2
  hsa:4294 MAP3K10; mitogen-activated protein kinase kinase kinase 10
  hsa:6389 SDHA; succinate dehydrogenase complex flavoprotein subunit A
  hsa:1537 CYC1; cytochrome c1
  hsa:10540 DCTN2; dynactin subunit 2
  hsa:55567 DNAH3; dynein axonemal heavy chain 3
  hsa:196385 DNAH10; dynein axonemal heavy chain 10
  hsa:8632 DNAH17; dynein axonemal heavy chain 17
  hsa:7846 TUBA1A; tubulin alpha 1a
  hsa:51807 TUBA8; tubulin alpha 8
  hsa:203068 TUBB; tubulin beta class I
  hsa:7280 TUBB2A; tubulin beta 2A class IIa
  hsa:347733 TUBB2B; tubulin beta 2B class IIb
  hsa:10381 TUBB3; tubulin beta 3 class III
  hsa:10382 TUBB4A; tubulin beta 4A class IVa
  hsa:3798 KIF5A; kinesin family member 5A
  hsa:3800 KIF5C; kinesin family member 5C
  hsa:5978 REST; RE1 silencing transcription factor
  hsa:25942 SIN3A; SIN3 transcription regulator family member A
 
06465 Prion disease (38)

  hsa:2915 GRM5; glutamate metabotropic receptor 5
  hsa:2776 GNAQ; G protein subunit alpha q
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:3708 ITPR1; inositol 1,4,5-trisphosphate receptor type 1
  hsa:6262 RYR2; ryanodine receptor 2
