genes,count,samples,KEGG_entry_ID,name
DNAH17,23,"{'19CT051360': 1, '19CT034631': 1, '19CT048087': 1, '20A0002478': 2, '19PA009666': 1, '19CT036523': 1, '18PA004934': 1, '19CT039196': 2, '18PA004715': 1, '19CT044338': 1, '19PA009669': 1, '20A0000412': 1, '20A0007427': 3, '19CT031559': 3, '20A0002063': 1, '20A0000618': 1, '19CT041822': 1}",hsa:8632,dynein axonemal heavy chain 17
ANK3,22,"{'19CT048087': 1, '19CT040719': 1, '20A0002478': 1, '19CT044751': 1, '19CT040732': 1, '19CT016837': 1, '19CT024854': 1, '19CT044566': 1, '20A0008698': 2, '19CT035369': 1, '19CT034845': 1, '19CT039196': 1, '18PA004715': 3, '20A0002445': 1, '19CT024296': 1, '19CT016404': 1, '19CT031909': 1, '20A0008696': 2}",hsa:288,ankyrin 3
ALMS1,20,"{'20A0002478': 1, '19CT044751': 2, '19CT040732': 1, '20A0008882': 2, '20A0004217': 2, '19PA009666': 2, '19CT044501': 1, '19CT024234': 1, '19PA009669': 2, '20A0004327': 2, '20A0007427': 2, '20A0004401': 1, '19CT014597': 1}",hsa:7840,ALMS1 centrosome and basal body associated protein
LRP2,19,"{'19PA009450': 1, '19CT030702': 1, '20A0008882': 2, '18PA004616': 1, '19CT044501': 1, '19CT034845': 1, '18PA004715': 1, '19CT024296': 1, '19CT024299': 1, '20A0008697': 1, '19CT030925': 1, '19CT041747': 1, '19CT046414': 1, '20A0008696': 1, '19PA009214': 1, '19CT039201': 1, '20A0004030': 1, '19CT041822': 1}",hsa:4036,LDL receptor related protein 2
ZFYVE26,18,"{'19CT051360': 1, '19CT040719': 1, '19PA009450': 1, '19CT030002': 1, '19CT024233': 1, '20A0008698': 1, 'DS184317': 1, '20A0004392': 1, '19PA009666': 1, '18PA006387': 1, '19CT024296': 1, '19CT024299': 1, '19CT031559': 1, '20A0001282': 1, '19CT031909': 1, '20A0008696': 1, '20A0004030': 1, '19CT041822': 1}",hsa:23503,zinc finger FYVE-type containing 26
EPPK1,18,"{'19CT046369': 1, '20A0002973': 1, '19CT030002': 1, '19CT028732': 1, '20A0008698': 1, '19CT034641': 1, '20A0004392': 1, '19CT052347': 1, '19CT013554': 1, '18PA004715': 3, '20A0002445': 1, '19CT024296': 1, '19CT024299': 1, '18PA004940': 1, '19PA009214': 1, '20A0004030': 1}",hsa:83481,epiplakin 1
ZFHX3,17,"{'19CT046369': 2, '19CT040719': 1, '19CT040732': 2, '19CT020478': 1, '20A0004325': 1, '19CT040892': 1, '19CT013554': 1, '20A0004327': 1, '20A0008697': 1, '19CT046414': 1, '19CT034643': 1, '20A0001282': 1, '19CT045844': 1, '19CT031909': 1, '20A0008696': 1}",hsa:463,zinc finger homeobox 3
STARD9,17,"{'19CT046369': 1, '20A0002478': 2, '19CT044751': 1, '20A0000620': 1, '19CT044501': 1, '19CT039196': 1, '19PA009444': 1, '19CT024296': 1, '20A0000412': 1, '20A0007427': 2, '19CT034643': 1, '20A0004401': 2, '20A0004025': 2}",hsa:57519,StAR related lipid transfer domain containing 9
FAT1,17,"{'19CT048087': 1, '20A0002478': 1, '19CT040732': 1, '19PA009426': 1, '20A0008698': 1, '19CT036523': 1, '19CT039895': 1, '19CT039196': 1, '19PA009444': 1, '18PA004715': 1, '20A0002445': 1, '19CT039890': 1, '20A0007427': 1, '19CT031559': 1, '18PA004940': 2, '19CT014597': 1}",hsa:2195,FAT atypical cadherin 1
OBSL1,17,"{'20A0002478': 1, '19PA009426': 1, '19CT036423': 1, '19CT046641': 1, '19CT028732': 1, '20A0004392': 1, '19CT036523': 1, '19PA009444': 1, '18PA004715': 1, '20A0002445': 1, '19CT024296': 1, '20A0000412': 1, '20A0004327': 1, '19CT034643': 2, '19PA009214': 1, '19CT014597': 1}",hsa:23363,obscurin like cytoskeletal adaptor 1
EP400,16,"{'19CT034631': 1, '19CT044751': 1, '19CT020478': 1, '19CT044566': 1, 'DS184317': 1, '19CT034845': 1, '19CT013554': 1, '19CT039196': 1, '18PA004715': 3, '19CT046414': 4, '19PA009214': 1}",hsa:57634,E1A binding protein p400
LAMA1,16,"{'20A0002973': 1, '19PA009426': 1, '19CT016837': 1, '20A0008698': 1, '18PA004934': 1, '19CT044501': 1, '19CT039895': 1, '18PA006387': 1, '18PA004715': 2, '19CT041747': 1, '19CT046414': 1, '19CT034643': 1, '20A0008696': 1, '19PA009214': 1, '19CT041822': 1}",hsa:284217,laminin subunit alpha 1
NCOR2,16,"{'19CT051360': 1, '19CT034631': 1, '19CT044751': 1, '19PA009450': 1, '20A0004325': 2, '19CT028732': 1, '20A0004217': 1, '20A0004392': 2, '19CT035369': 1, '18PA004934': 2, '18PA004715': 1, '20A0004327': 1, '20A0004025': 1}",hsa:9612,nuclear receptor corepressor 2
ANKRD11,15,"{'19CT020478': 1, '19CT036423': 1, 'DS184317': 1, '18PA008847': 1, '19CT034845': 1, '19CT024234': 1, '18PA004715': 1, '19CT024296': 1, '20A0000412': 1, '19CT041747': 1, '19CT016404': 1, '19CT014597': 1, '19CT021756': 1, '20A0000618': 1, '19CT039201': 1}",hsa:29123,ankyrin repeat domain containing 11
RNF213,15,"{'19CT044120': 1, '19CT048087': 1, '20A0004325': 1, '19PA009426': 1, '19CT016837': 1, '20A0004217': 1, '18PA004616': 1, '19CT024296': 1, '19CT024299': 1, '20A0004327': 1, '20A0008697': 1, '20A0001282': 1, '19CT045844': 1, '20A0002063': 1, '19CT016403': 1}",hsa:57674,ring finger protein 213
PCLO,15,"{'20A0002478': 1, '19CT040732': 2, 'DS184317': 1, '20A0004392': 1, '19CT035369': 1, '19PA009444': 1, '18PA004715': 1, '19CT024299': 1, '19CT039890': 1, '20A0007427': 1, '20A0004025': 1, '20A0000618': 2, '20A0004030': 1}",hsa:27445,piccolo presynaptic cytomatrix protein
SPTB,15,"{'20A0002478': 3, '19CT044751': 1, '19CT040732': 3, '19CT024854': 1, '19CT024233': 1, '19CT040892': 1, '18PA004934': 1, '20A0001282': 2, '19PA009214': 1, '19CT021756': 1}",hsa:6710,"spectrin beta, erythrocytic"
DCHS1,15,"{'20A0002478': 1, '19PA009450': 1, '19CT030002': 2, '19CT036423': 1, 'DS184317': 1, '19CT036523': 2, '18PA006387': 1, '19CT024234': 1, '19CT024296': 1, '20A0007427': 1, '19CT046414': 1, '19CT014597': 1, '19CT016403': 1}",hsa:8642,dachsous cadherin-related 1
FASN,15,"{'19CT046641': 1, '19CT024233': 1, '20A0004217': 1, '19PA009444': 2, '19CT024234': 2, '18PA004715': 1, '20A0002445': 1, '20A0004327': 1, '19PA009214': 1, '19CT021756': 3, '19CT041822': 1}",hsa:2194,fatty acid synthase
PCNT,14,"{'19CT048087': 1, '19CT040732': 1, '19CT020478': 1, '20A0004325': 1, '20A0000620': 1, '18PA008847': 1, '19CT039196': 1, '19CT039890': 1, '19CT046414': 2, '19CT016404': 1, '20A0002063': 2, '19CT041822': 1}",hsa:5116,pericentrin
MCM3AP,14,"{'19CT040719': 1, '20A0002478': 1, '19CT020478': 1, '20A0004325': 1, '19CT036423': 1, '20A0008698': 1, '20A0004217': 1, '18PA004934': 1, '18PA006387': 1, '20A0004327': 2, '20A0008696': 1, '19PA009214': 1, '20A0002063': 1}",hsa:8888,minichromosome maintenance complex component 3 associated protein
TRAK1,14,"{'DS187051': 1, '20A0004325': 1, '19CT024854': 1, '20A0000620': 1, '19CT034641': 1, '19PA009666': 1, '19CT039196': 1, '19PA009444': 2, '19CT024296': 1, '19CT034643': 1, '18PA004940': 1, '19CT045844': 1, '20A0004030': 1}",,
WDR87,14,"{'19CT040719': 1, '19PA009450': 1, '19CT030002': 1, '19CT020478': 1, '19CT028732': 1, '19CT024233': 1, '20A0004392': 1, '19CT036523': 1, '19CT052347': 1, '19CT044338': 1, '19CT046414': 1, '19CT034643': 1, '19CT014597': 1, '19CT021756': 1}",,
CHD7,14,"{'19CT051360': 1, '19CT040732': 1, '19CT030002': 1, '19CT034641': 1, '19CT040892': 1, '19CT041295': 1, '19PA009444': 1, '19CT024234': 1, '19CT044338': 1, '19CT024296': 1, '20A0007427': 2, '20A0001282': 1, '20A0004025': 1}",hsa:55636,chromodomain helicase DNA binding protein 7
POLG,14,"{'19CT044120': 1, '19CT046369': 1, '20A0002973': 1, '19CT046641': 2, '19CT024233': 1, '18PA008847': 2, '18PA006387': 1, '19CT014597': 2, '19CT016403': 2, '19CT021756': 1}",hsa:5428,"DNA polymerase gamma, catalytic subunit"
HECTD4,14,"{'19CT044120': 1, '19CT044751': 1, '20A0002973': 1, '20A0004392': 1, '19CT036523': 1, '19CT034845': 1, '19CT041295': 1, '19CT024296': 2, '19CT024299': 1, '20A0001282': 1, '19CT031909': 2, '19CT039201': 1}",hsa:283450,HECT domain E3 ubiquitin protein ligase 4
MYO18B,14,"{'19CT044751': 1, '20A0002973': 1, '20A0008882': 1, '19CT036423': 1, '19CT024233': 1, '20A0004392': 1, '18PA004616': 1, '18PA004715': 2, '19CT031559': 1, '20A0004025': 1, '19CT021756': 1, '20A0000618': 1, '19CT039201': 1}",hsa:84700,myosin XVIIIB
FREM2,14,"{'19CT048087': 1, '19CT040719': 1, '19CT044751': 1, '19PA009450': 1, '20A0008698': 1, '18PA008847': 1, '18PA004934': 1, '19CT039895': 1, '19CT024299': 1, '19CT031559': 1, '19CT046414': 2, '20A0004401': 1, '19CT014597': 1}",hsa:341640,FRAS1 related extracellular matrix 2
MYH4,14,"{'19CT048087': 1, '19CT040719': 1, '19CT046641': 1, 'DS184317': 1, '20A0000620': 1, '19CT034845': 1, '19CT039196': 1, '20A0002445': 1, '19PA009669': 1, '19CT031559': 1, '19CT034643': 1, '19CT031909': 1, '19CT014597': 1, '19CT041822': 1}",hsa:4622,myosin heavy chain 4
ABCA7,13,"{'20A0008882': 1, '19CT016837': 1, '20A0008698': 1, 'DS184317': 1, '19CT039895': 1, '19PA009444': 2, '19CT024296': 2, '19CT024299': 1, '20A0001282': 1, '19CT045844': 1, '20A0008696': 1}",hsa:10347,ATP binding cassette subfamily A member 7
VPS13B,13,"{'19CT020478': 1, 'DS187051': 1, '20A0008882': 2, '19PA009666': 1, '19CT034845': 1, '19CT044338': 1, '19PA009669': 1, '20A0000412': 1, '19CT034643': 1, '19CT016404': 1, '20A0004025': 1, '20A0004030': 1}",hsa:157680,vacuolar protein sorting 13 homolog B
IGHMBP2,13,"{'20A0004325': 1, '19PA009426': 1, '20A0008698': 1, '20A0004217': 3, '20A0004392': 1, '19CT035369': 1, '18PA004715': 1, '20A0004327': 3, '20A0008696': 1}",hsa:3508,immunoglobulin mu DNA binding protein 2
PRKDC,13,"{'19CT034631': 1, '19CT046369': 1, '19CT044751': 1, '19CT030002': 1, 'DS187051': 1, '20A0004325': 1, '19CT024854': 1, '20A0004217': 1, '19PA009444': 1, '19CT024299': 1, '19CT030925': 1, '20A0004025': 1, '19CT016403': 1}",hsa:5591,"protein kinase, DNA-activated, catalytic subunit"
CEP152,13,"{'20A0004217': 1, '20A0000620': 1, '19CT034641': 1, '20A0004392': 1, '19CT039196': 1, '19PA009444': 1, '18PA004715': 1, '20A0002445': 1, '20A0004327': 1, '19CT046414': 1, '20A0004025': 1, '19CT041822': 2}",hsa:22995,centrosomal protein 152
DNAH3,13,"{'20A0002973': 1, 'DS187051': 1, '19CT036423': 1, '19CT034641': 1, '19CT040892': 1, '20A0004392': 1, '19PA009444': 1, '18PA004715': 1, '19CT044338': 1, '20A0008697': 1, '18PA004940': 1, '19CT045844': 1, '19CT031909': 1}",hsa:55567,dynein axonemal heavy chain 3
FRAS1,13,"{'19PA009450': 1, '20A0002973': 1, '20A0008882': 1, '20A0004392': 1, '19PA009666': 1, '19CT036523': 2, '19CT039895': 1, '19PA009669': 1, '20A0008697': 1, '19CT041822': 3}",hsa:80144,Fraser extracellular matrix complex subunit 1
RELN,13,"{'19CT044120': 1, '20A0002478': 1, '19CT044751': 1, '19PA009450': 2, '20A0002973': 1, '19CT030702': 1, '20A0008698': 1, '20A0004217': 1, '19CT035369': 1, '19CT034845': 1, '19CT013554': 1, '20A0004327': 1}",hsa:5649,reelin
LRBA,13,"{'19PA009450': 1, '20A0002973': 2, '20A0008882': 1, '20A0004217': 1, '20A0004392': 2, '18PA004616': 1, '19CT036523': 1, '18PA004934': 1, '20A0004327': 1, '19CT031559': 1, '20A0002063': 1}",hsa:987,LPS responsive beige-like anchor protein
USH2A,13,"{'19CT040719': 2, '19CT044751': 1, 'DS187051': 1, '20A0004325': 2, '19CT036523': 1, '19CT013554': 1, '18PA004715': 1, '19CT031559': 1, '19CT034643': 1, '19CT041822': 2}",hsa:7399,usherin
GLI2,12,"{'19CT020478': 1, '19CT035369': 1, '19PA009444': 2, '20A0000412': 1, '19CT031559': 2, '20A0004401': 2, '19PA009214': 1, '20A0004025': 1, '19CT041822': 1}",hsa:2736,GLI family zinc finger 2
ATM,12,"{'19CT044120': 1, '19PA009426': 1, '19CT044566': 1, 'DS184317': 1, '19CT041295': 1, '18PA004715': 1, '19CT044338': 1, '20A0008697': 1, '19CT034643': 1, '19CT045844': 1, '20A0008696': 1, '19CT041822': 1}",hsa:472,ATM serine/threonine kinase
CSMD1,12,"{'19CT040719': 1, '20A0002478': 1, '19CT040732': 1, '19CT030002': 2, '19CT024854': 1, '20A0004217': 1, '19CT035369': 1, '19CT034845': 1, '20A0004327': 1, '19CT030925': 1, '19CT031909': 1}",hsa:64478,CUB and Sushi multiple domains 1
HYDIN,12,"{'19CT040719': 1, '19CT040732': 1, '20A0004325': 2, '19CT036423': 1, '20A0004217': 1, '19CT034643': 1, '20A0004401': 1, '18PA004940': 1, '19CT031909': 1, '19CT014597': 1, '20A0000618': 1}",hsa:54768,HYDIN axonemal central pair apparatus protein
COL18A1,12,"{'19CT051360': 1, '19CT034631': 1, '19CT046369': 1, '20A0002478': 2, 'DS184317': 1, '19PA009666': 1, '19PA009444': 1, '18PA004715': 1, '19PA009669': 1, '19CT030925': 1, '19PA009214': 1}",hsa:80781,collagen type XVIII alpha 1 chain
SORBS1,12,"{'19CT046369': 1, '20A0008698': 1, '19CT040892': 1, '19PA009666': 1, '18PA004934': 1, '19PA009444': 1, '19CT031559': 1, '19CT016404': 1, '19CT031909': 1, '20A0008696': 1, '20A0002063': 1, '19CT016403': 1}",hsa:10580,sorbin and SH3 domain containing 1
FAT4,11,"{'19CT034631': 1, '19CT048087': 2, '19CT044751': 1, '19CT020478': 1, '19CT016837': 1, '19CT039196': 1, '19PA009444': 1, '20A0001282': 1, '19CT016404': 1, '20A0000618': 1}",hsa:79633,FAT atypical cadherin 4
LAMA2,11,"{'19CT048087': 1, '20A0002478': 1, '19CT044751': 1, '20A0008882': 1, '19CT044566': 1, '19CT052347': 1, '19PA009444': 1, '19CT031559': 1, '19CT046414': 1, '20A0000618': 1, '19CT041822': 1}",hsa:3908,laminin subunit alpha 2
PCDHA8,11,"{'20A0004325': 1, '19CT044566': 1, '19CT028732': 1, 'DS184317': 1, '19PA009666': 1, '19CT035369': 1, '18PA006387': 1, '19PA009444': 1, '18PA004715': 1, '19CT016404': 1, '19CT045844': 1}",hsa:56140,protocadherin alpha 8
IRF2BPL,11,"{'19CT044120': 1, '19CT044751': 1, '19CT036423': 1, '19CT034641': 1, '19CT040892': 1, '19CT034845': 1, '18PA006387': 1, '19CT041295': 1, '20A0004401': 1, '18PA004940': 1, '20A0004025': 1}",hsa:64207,interferon regulatory factor 2 binding protein like
TRAPPC8,11,"{'20A0004392': 1, '19CT039196': 1, '19PA009444': 2, '19CT024234': 1, '18PA004715': 2, '19CT041747': 1, '19CT031909': 1, '19CT021756': 1, '20A0004030': 1}",hsa:22878,trafficking protein particle complex subunit 8
KIAA0586,11,"{'19CT044120': 1, '19CT048087': 1, '19CT044751': 1, '19CT030002': 1, '18PA008847': 1, '19CT039196': 1, '19CT024234': 1, '20A0001282': 1, '19CT016403': 1, '19CT021756': 1, '19CT039201': 1}",hsa:9786,protein TALPID3
DOCK6,11,"{'19PA009450': 1, '19CT040732': 2, '19CT035369': 1, '18PA004715': 1, '19CT041747': 1, '19CT046414': 1, '18PA004940': 1, '19CT031909': 1, '20A0004025': 1, '19CT016403': 1}",hsa:57572,dedicator of cytokinesis 6
MAP1A,11,"{'DS187051': 1, '19CT044566': 1, '20A0008698': 1, '18PA004934': 1, '19CT039895': 1, '19CT039890': 1, '19CT041747': 2, '19CT031909': 1, '19PA009214': 1, '20A0004030': 1}",hsa:4130,microtubule associated protein 1A
FLNA,11,"{'19CT040719': 1, '19CT046641': 1, '18PA008847': 3, '19CT024296': 1, '19CT024299': 1, '19CT041747': 1, '20A0007427': 2, '19CT046414': 1}",hsa:2316,filamin A
TNS2,11,"{'20A0004325': 1, '19CT036423': 1, '19CT046641': 1, '19PA009666': 1, '19CT039895': 2, '19PA009669': 1, '19CT030925': 1, '19CT031559': 1, '19CT031909': 1, '19CT016403': 1}",hsa:23371,tensin 2
CPLANE1,11,"{'20A0002478': 1, '20A0004325': 1, '20A0004217': 1, '19CT044501': 1, '19PA009444': 1, '19CT044338': 1, '20A0007427': 1, '19CT031559': 1, '19CT046414': 1, '19CT031909': 2}",hsa:65250,ciliogenesis and planar polarity effector complex subunit 1
FLNC,11,"{'19CT044120': 1, '19CT040719': 1, '20A0002973': 1, '19CT030702': 1, '19CT016837': 1, '19CT024854': 1, '19CT028732': 2, '20A0004217': 1, '20A0004327': 1, '19CT030925': 1}",hsa:2318,filamin C
SAMD11,11,"{'20A0008698': 1, '19CT035369': 1, '18PA006387': 1, '19PA009444': 1, '18PA004715': 2, '19CT044338': 2, '19CT024299': 1, '19CT041747': 1, '20A0004025': 1}",,
GRID2IP,11,"{'19CT044120': 1, '20A0002478': 1, '20A0004325': 1, '19CT024233': 1, '20A0004217': 1, '18PA008847': 1, '19CT035369': 1, '19CT036523': 1, '20A0007427': 1, '19CT021756': 1, '20A0004030': 1}",hsa:392862,Grid2 interacting protein
KDM6B,11,"{'19CT030002': 2, '20A0004325': 1, '19CT024854': 1, '20A0000620': 2, '19CT034845': 1, '19CT039196': 1, '19CT031559': 1, '19CT046414': 1, '20A0004401': 1}",hsa:23135,lysine demethylase 6B
ARID1B,10,"{'19CT036423': 1, '19CT028732': 1, 'DS184317': 1, '19CT040892': 1, '20A0004392': 1, '19CT035369': 1, '19CT013554': 1, '19CT039196': 1, '18PA004715': 1, '20A0004327': 1}",hsa:57492,AT-rich interaction domain 1B
PCDH12,10,"{'DS187051': 1, '19CT036423': 1, 'DS184317': 1, '20A0000620': 1, '19CT024296': 1, '19CT024299': 1, '19CT034643': 1, '20A0004025': 1, '20A0000618': 1, '19CT041822': 1}",hsa:51294,protocadherin 12
CD163L1,10,"{'19CT034631': 1, '20A0000620': 1, '18PA008847': 1, '19CT013554': 3, '19CT041295': 1, '19CT041747': 1, '20A0002063': 1, '19CT041822': 1}",hsa:283316,CD163 molecule like 1
CGNL1,10,"{'19PA009450': 1, '20A0008882': 1, '19CT034641': 1, '18PA004715': 1, '19CT024296': 1, '19CT024299': 2, '20A0004327': 1, '19CT016404': 1, '19CT014597': 1}",hsa:84952,cingulin like 1
ROBO2,10,"{'19CT048087': 1, '20A0002973': 1, '19CT036423': 1, '18PA006387': 1, '19CT052347': 2, '19CT013554': 1, '19CT030925': 1, '20A0007427': 1, '19CT046414': 1}",hsa:6092,roundabout guidance receptor 2
GLI3,10,"{'19CT048087': 1, '19CT044751': 1, '19CT030002': 1, '20A0008882': 1, 'DS184317': 1, '18PA004934': 1, '18PA004715': 1, '20A0004025': 1, '20A0002063': 1, '19CT016403': 1}",hsa:2737,GLI family zinc finger 3
KIAA1109,10,"{'19CT034631': 1, '20A0002478': 1, '19CT016837': 1, '19PA009666': 1, '19CT041295': 1, '19PA009444': 1, '19PA009669': 1, '20A0000412': 1, '20A0004401': 1, '19CT045844': 1}",K24964,	
IQGAP3,10,"{'DS187051': 2, '19CT016837': 1, '19CT046641': 1, '19CT028732': 1, '20A0004392': 1, '19PA009444': 1, '19CT046414': 2, '19CT031909': 1}",hsa:128239,IQ motif containing GTPase activating protein 3
PRR12,10,"{'19CT048087': 1, 'DS187051': 1, '19PA009666': 1, '19CT036523': 1, '19CT013554': 1, '19PA009444': 1, '19CT024296': 1, '19CT024299': 1, '19CT031559': 1, '20A0004025': 1}",hsa:57479,proline rich 12
RAI1,10,"{'19CT034631': 1, '19CT036423': 1, '19CT016837': 1, '19CT035369': 1, '20A0000412': 1, '19CT041747': 1, '19CT046414': 1, '18PA004940': 1, '19CT031909': 2}",hsa:10743,retinoic acid induced 1
SDK1,10,"{'19CT046369': 1, '20A0008882': 1, '19CT028732': 2, '19CT044501': 1, '19PA009444': 1, '20A0002445': 1, '20A0004327': 1, '20A0007427': 1, '20A0004025': 1}",hsa:221935,sidekick cell adhesion molecule 1
CAPN15,10,"{'19CT044501': 1, '19CT024234': 1, '18PA004715': 1, '19CT044338': 1, '20A0004401': 2, '20A0001282': 1, '19PA009214': 1, '20A0004025': 1, '20A0000618': 1}",hsa:6650,calpain 15
CLTCL1,10,"{'19CT048087': 1, '19CT040732': 1, '20A0008882': 1, '19CT036423': 1, '19CT024854': 1, 'DS184317': 1, '19CT036523': 1, '19CT034643': 1, '20A0000618': 1, '19CT041822': 1}",hsa:8218,clathrin heavy chain like 1
SLX4,10,"{'20A0002973': 1, '19PA009426': 1, '19CT036423': 1, '19CT036523': 1, '19CT024234': 1, '19CT024296': 1, '19CT024299': 1, '19CT046414': 1, '19CT034643': 1, '20A0001282': 1}",hsa:84464,SLX4 structure-specific endonuclease subunit
TSC2,10,"{'19CT040719': 1, '20A0008882': 1, '19CT036423': 1, '19CT046641': 1, '20A0004392': 1, '19CT035369': 1, '18PA004934': 1, '19CT044501': 1, '20A0004025': 1, '20A0000618': 1}",hsa:7249,TSC complex subunit 2
DOCK8,10,"{'19CT044120': 1, '19CT034631': 1, '19PA009450': 1, '19CT030002': 1, '19PA009426': 1, '19CT040892': 1, '19CT036523': 1, '19CT044501': 1, '18PA004715': 1, '19PA009214': 1}",hsa:81704,dedicator of cytokinesis 8
ANK2,10,"{'19CT051360': 1, '19CT044751': 1, '20A0004325': 1, '20A0004217': 1, '20A0000620': 1, '19CT040892': 1, '18PA006387': 1, '18PA004715': 1, '19PA009214': 1, '20A0002063': 1}",hsa:287,ankyrin 2
HERC1,10,"{'19CT040719': 1, '19CT046641': 1, 'DS184317': 1, '20A0000620': 1, '19CT035369': 1, '19CT039196': 1, '19CT024234': 1, '19CT044338': 1, '19CT021756': 1, '19CT039201': 1}",hsa:8925,HECT and RLD domain containing E3 ubiquitin protein ligase family member 1
