hsa03036 Chromosome and associated proteins (304)

  hsa:10274 STAG1; stromal antigen 1
  hsa:23133 PHF8; PHD finger protein 8
  hsa:22823 MTF2; metal response element binding transcription factor 2
  hsa:23013 SPEN; spen family transcriptional repressor
  hsa:23126 POGZ; pogo transposable element derived with ZNF domain
  hsa:23112 TNRC6B; trinucleotide repeat containing adaptor 6B
  hsa:22981 NINL; ninein like
  hsa:23259 DDHD2; DDHD domain containing 2
  hsa:22995 CEP152; centrosomal protein 152
  hsa:23291 FBXW11; F-box and WD repeat domain containing 11
  hsa:22880 MORC2; MORC family CW-type zinc finger 2
  hsa:25836 NIPBL; NIPBL cohesin loading factor
  hsa:23522 KAT6B; lysine acetyltransferase 6B
  hsa:23450 SF3B3; splicing factor 3b subunit 3
  hsa:23774 BRD1; bromodomain containing 1
  hsa:23512 SUZ12; SUZ12 polycomb repressive complex 2 subunit
  hsa:23394 ADNP; activity dependent neuroprotector homeobox
  hsa:23332 CLASP1; cytoplasmic linker associated protein 1
  hsa:23345 SYNE1; spectrin repeat containing nuclear envelope protein 1
  hsa:23363 OBSL1; obscurin like cytoskeletal adaptor 1
  hsa:23451 SF3B1; splicing factor 3b subunit 1
  hsa:23476 BRD4; bromodomain containing 4
  hsa:254048 UBN2; ubinuclein 2
  hsa:23314 SATB2; SATB homeobox 2
  hsa:23515 MORC3; MORC family CW-type zinc finger 3
  hsa:25821 MTO1; mitochondrial tRNA translation optimization 1
  hsa:26122 EPC2; enhancer of polycomb homolog 2
  hsa:27154 BRPF3; bromodomain and PHD finger containing 3
  hsa:26610 ELP4; elongator acetyltransferase complex subunit 4
  hsa:25942 SIN3A; SIN3 transcription regulator family member A
  hsa:26053 AUTS2; activator of transcription and developmental regulator AUTS2
  hsa:26040 SETBP1; SET binding protein 1
  hsa:27245 AHDC1; AT-hook DNA binding motif containing 1
  hsa:26523 AGO1; argonaute RISC component 1
  hsa:27161 AGO2; argonaute RISC catalytic component 2
  hsa:25886 POC1A; POC1 centriolar protein A
  hsa:27185 DISC1; DISC1 scaffold protein
  hsa:27229 TUBGCP4; tubulin gamma complex associated protein 4
  hsa:26057 ANKRD17; ankyrin repeat domain 17
  hsa:259266 ASPM; assembly factor for spindle microtubules
  hsa:3008 H1-4; H1.4 linker histone, cluster member
  hsa:3020 H3-3A; H3.3 histone A
  hsa:284058 KANSL1; KAT8 regulatory NSL complex subunit 1
  hsa:29123 ANKRD11; ankyrin repeat domain containing 11
  hsa:29072 SETD2; SET domain containing 2, histone lysine methyltransferase
  hsa:29781 NCAPH2; non-SMC condensin II complex subunit H2
  hsa:283489 CHAMP1; chromosome alignment maintaining phosphoprotein 1
  hsa:284403 WDR62; WD repeat domain 62
  hsa:29899 GPSM2; G protein signaling modulator 2
  hsa:29998 BICRA; BRD4 interacting chromatin remodeling complex associated protein
  hsa:3150 HMGN1; high mobility group nucleosome binding domain 1
  hsa:3054 HCFC1; host cell factor C1
  hsa:3720 JARID2; jumonji and AT-rich interaction domain containing 2
  hsa:347733 TUBB2B; tubulin beta 2B class IIb
  hsa:389856 USP27X; ubiquitin specific peptidase 27 X-linked
  hsa:4297 KMT2A; lysine methyltransferase 2A
  hsa:3796 KIF2A; kinesin family member 2A
  hsa:4204 MECP2; methyl-CpG binding protein 2
  hsa:4152 MBD1; methyl-CpG binding domain protein 1
  hsa:3930 LBR; lamin B receptor
  hsa:387119 CEP85L; centrosomal protein 85 like
  hsa:3832 KIF11; kinesin family member 11
  hsa:402569 KPNA7; karyopherin subunit alpha 7
  hsa:4661 MYT1; myelin transcription factor 1
  hsa:4998 ORC1; origin recognition complex subunit 1
  hsa:5048 PAFAH1B1; platelet activating factor acetylhydrolase 1b regulatory subunit 1
  hsa:5058 PAK1; p21 (RAC1) activated kinase 1
  hsa:4643 MYO1E; myosin IE
  hsa:51317 PHF21A; PHD finger protein 21A
  hsa:51111 KMT5B; lysine methyltransferase 5B
  hsa:51143 DYNC1LI1; dynein cytoplasmic 1 light intermediate chain 1
  hsa:5116 PCNT; pericentrin
  hsa:5108 PCM1; pericentriolar material 1
  hsa:51134 CEP83; centrosomal protein 83
  hsa:5076 PAX2; paired box 2
  hsa:51412 ACTL6B; actin like 6B
  hsa:54496 PRMT7; protein arginine methyltransferase 7
  hsa:51780 KDM3B; lysine demethylase 3B
  hsa:5253 PHF2; PHD finger protein 2
  hsa:54790 TET2; tet methylcytosine dioxygenase 2
  hsa:54880 BCOR; BCL6 corepressor
  hsa:54892 NCAPG2; non-SMC condensin II complex subunit G2
  hsa:53615 MBD3; methyl-CpG binding domain protein 3
  hsa:546 ATRX; ATRX chromatin remodeler
  hsa:51807 TUBA8; tubulin alpha 8
  hsa:54820 NDE1; nudE neurodevelopment protein 1
  hsa:51773 RSF1; remodeling and spacing factor 1
  hsa:54891 INO80D; INO80 complex subunit D
  hsa:55689 YEATS2; YEATS domain containing 2
  hsa:55683 KANSL3; KAT8 regulatory NSL complex subunit 3
  hsa:55250 ELP2; elongator acetyltransferase complex subunit 2
  hsa:55869 HDAC8; histone deacetylase 8
  hsa:55870 ASH1L; ASH1 like histone lysine methyltransferase
  hsa:55252 ASXL2; ASXL transcriptional regulator 2
  hsa:55209 SETD5; SET domain containing 5
  hsa:55213 
  hsa:55835 CENPJ; centromere protein J
  hsa:55055 ZWILCH; zwilch kinetochore protein
  hsa:5515 PPP2CA; protein phosphatase 2 catalytic subunit alpha
  hsa:5519 PPP2R1B; protein phosphatase 2 scaffold subunit Abeta
  hsa:5518 PPP2R1A; protein phosphatase 2 scaffold subunit Aalpha
  hsa:5528 PPP2R5D; protein phosphatase 2 regulatory subunit B'delta
  hsa:55777 MBD5; methyl-CpG binding domain protein 5
  hsa:55165 CEP55; centrosomal protein 55
  hsa:55857 KIZ; kizuna centrosomal protein
  hsa:55755 CDK5RAP2; CDK5 regulatory subunit associated protein 2
  hsa:5567 PRKACB; protein kinase cAMP-activated catalytic subunit beta
  hsa:55746 NUP133; nucleoporin 133
  hsa:55636 CHD7; chromodomain helicase DNA binding protein 7
  hsa:55904 KMT2E; lysine methyltransferase 2E (inactive)
  hsa:5594 MAPK1; mitogen-activated protein kinase 1
  hsa:5595 MAPK3; mitogen-activated protein kinase 3
  hsa:57519 STARD9; StAR related lipid transfer domain containing 9
  hsa:56147 PCDHA1; protocadherin alpha 1
  hsa:56135 PCDHAC1; protocadherin alpha subfamily C, 1
  hsa:56142 PCDHA6; protocadherin alpha 6
  hsa:56134 PCDHAC2; protocadherin alpha subfamily C, 2
  hsa:56136 PCDHA13; protocadherin alpha 13
  hsa:56137 PCDHA12; protocadherin alpha 12
  hsa:56138 PCDHA11; protocadherin alpha 11
  hsa:56139 PCDHA10; protocadherin alpha 10
  hsa:56140 PCDHA8; protocadherin alpha 8
  hsa:56141 PCDHA7; protocadherin alpha 7
  hsa:56145 PCDHA3; protocadherin alpha 3
  hsa:56143 PCDHA5; protocadherin alpha 5
  hsa:56144 PCDHA4; protocadherin alpha 4
  hsa:56146 
  hsa:57122 NUP107; nucleoporin 107
  hsa:57492 ARID1B; AT-rich interaction domain 1B
  hsa:57459 GATAD2B; GATA zinc finger domain containing 2B
  hsa:56916 SMARCAD1; SWI/SNF-related, matrix-associated actin-dependent regulator of chromatin, subfamily a, containing DEAD/H box 1
  hsa:5885 RAD21; RAD21 cohesin complex component
  hsa:57634 EP400; E1A binding protein p400
  hsa:60 ACTB; actin beta
  hsa:5926 ARID4A; AT-rich interaction domain 4A
  hsa:58508 KMT2C; lysine methyltransferase 2C
  hsa:5927 KDM5A; lysine demethylase 5A
  hsa:6299 SALL1; spalt like transcription factor 1
  hsa:585 BBS4; Bardet-Biedl syndrome 4
  hsa:57679 ALS2; alsin Rho guanine nucleotide exchange factor ALS2
  hsa:6253 RTN2; reticulon 2
  hsa:5977 DPF2; double PHD fingers 2
  hsa:57680 CHD8; chromodomain helicase DNA binding protein 8
  hsa:6304 SATB1; SATB homeobox 1
  hsa:6418 SET; SET nuclear proto-oncogene
  hsa:64324 NSD1; nuclear receptor binding SET domain protein 1
  hsa:6491 STIL; STIL centriolar assembly protein
  hsa:64682 ANAPC1; anaphase promoting complex subunit 1
  hsa:6595 SMARCA2; SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2
  hsa:6597 SMARCA4; SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
  hsa:6598 SMARCB1; SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1
  hsa:6599 SMARCC1; SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1
  hsa:6601 SMARCC2; SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2
  hsa:6602 SMARCD1; SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1
  hsa:6605 SMARCE1; SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1
  hsa:6749 SSRP1; structure specific recognition protein 1
  hsa:6872 TAF1; TATA-box binding protein associated factor 1
  hsa:6877 TAF5; TATA-box binding protein associated factor 5
  hsa:6878 TAF6; TATA-box binding protein associated factor 6
  hsa:6873 TAF2; TATA-box binding protein associated factor 2
  hsa:71 ACTG1; actin gamma 1
  hsa:7153 TOP2A; DNA topoisomerase II alpha
  hsa:701 BUB1B; BUB1 mitotic checkpoint serine/threonine kinase B
  hsa:7283 TUBG1; tubulin gamma 1
  hsa:7280 TUBB2A; tubulin beta 2A class IIa
  hsa:672 BRCA1; BRCA1 DNA repair associated
  hsa:675 BRCA2; BRCA2 DNA repair associated
  hsa:7862 BRPF1; bromodomain and PHD finger containing 1
  hsa:79813 EHMT1; euchromatic histone lysine methyltransferase 1
  hsa:7468 NSD2; nuclear receptor binding SET domain protein 2
  hsa:7403 KDM6A; lysine demethylase 6A
  hsa:7703 PCGF2; polycomb group ring finger 2
  hsa:7528 YY1; YY1 transcription factor
  hsa:7846 TUBA1A; tubulin alpha 1a
  hsa:7514 XPO1; exportin 1
  hsa:7840 ALMS1; ALMS1 centrosome and basal body associated protein
  hsa:79848 CSPP1; centrosome and spindle pole associated protein 1
  hsa:79648 MCPH1; microcephalin 1
  hsa:79023 NUP37; nucleoporin 37
  hsa:8243 SMC1A; structural maintenance of chromosomes 1A
  hsa:8260 NAA10; N-alpha-acetyltransferase 10, NatA catalytic subunit
  hsa:80155 NAA15; N-alpha-acetyltransferase 15, NatA auxiliary subunit
  hsa:8364 H4C3; H4 clustered histone 3
  hsa:7994 KAT6A; lysine acetyltransferase 6A
  hsa:8295 TRRAP; transformation/transcription domain associated protein
  hsa:8085 KMT2D; lysine methyltransferase 2D
  hsa:83852 SETDB2; SET domain bifurcated histone lysine methyltransferase 2
  hsa:8242 KDM5C; lysine demethylase 5C
  hsa:80816 ASXL3; ASXL transcriptional regulator 3
  hsa:80184 CEP290; centrosomal protein 290
  hsa:81620 CDT1; chromatin licensing and DNA replication factor 1
  hsa:80254 CEP63; centrosomal protein 63
  hsa:8289 ARID1A; AT-rich interaction domain 1A
  hsa:80224 NUBPL; NUBP iron-sulfur cluster assembly factor, mitochondrial
  hsa:84148 KAT8; lysine acetyltransferase 8
  hsa:8648 NCOA1; nuclear receptor coactivator 1
  hsa:86 ACTL6A; actin like 6A
  hsa:8473 OGT; O-linked N-acetylglucosamine (GlcNAc) transferase
  hsa:8575 PRKRA; protein activator of interferon induced protein kinase EIF2AK2
  hsa:8481 OFD1; OFD1 centriole and centriolar satellite protein
  hsa:85378 TUBGCP6; tubulin gamma complex associated protein 6
  hsa:84461 NEURL4; neuralized E3 ubiquitin protein ligase 4
  hsa:84984 CEP19; centrosomal protein 19
  hsa:8480 RAE1; ribonucleic acid export 1
  hsa:84295 PHF6; PHD finger protein 6
  hsa:9126 SMC3; structural maintenance of chromosomes 3
  hsa:8970 H2BC11; H2B clustered histone 11
  hsa:8850 KAT2B; lysine acetyltransferase 2B
  hsa:8888 MCM3AP; minichromosome maintenance complex component 3 associated protein
  hsa:8726 EED; embryonic ectoderm development
  hsa:8930 MBD4; methyl-CpG binding domain 4, DNA glycosylase
  hsa:891 CCNB1; cyclin B1
  hsa:8945 BTRC; beta-transducin repeat containing E3 ubiquitin protein ligase
  hsa:9024 BRSK2; BR serine/threonine kinase 2
  hsa:92558 BICDL1; BICD family like cargo adaptor 1
  hsa:9229 DLGAP1; DLG associated protein 1
  hsa:8924 HERC2; HECT and RLD domain containing E3 ubiquitin protein ligase 2
  hsa:93426 SYCE1; synaptonemal complex central element protein 1
  hsa:9759 HDAC4; histone deacetylase 4
  hsa:9734 HDAC9; histone deacetylase 9
  hsa:9757 KMT2B; lysine methyltransferase 2B
  hsa:9739 SETD1A; SET domain containing 1A, histone lysine methyltransferase
  hsa:9869 SETDB1; SET domain bifurcated histone lysine methyltransferase 1
  hsa:95681 CEP41; centrosomal protein 41
  hsa:9731 CEP104; centrosomal protein 104
  hsa:9662 CEP135; centrosomal protein 135
  hsa:9639 ARHGEF10; Rho guanine nucleotide exchange factor 10
  hsa:9820 CUL7; cullin 7
  hsa:9702 CEP57; centrosomal protein 57
  hsa:9752 PCDHA9; protocadherin alpha 9
  hsa:9894 TELO2; telomere maintenance 2
  hsa:998 CDC42; cell division cycle 42

hsa04131 Membrane trafficking (276)

  hsa:10059 DNM1L; dynamin 1 like
  hsa:10617 STAMBP; STAM binding protein
  hsa:10564 ARFGEF2; ADP ribosylation factor guanine nucleotide exchange factor 2
  hsa:10565 ARFGEF1; ADP ribosylation factor guanine nucleotide exchange factor 1
  hsa:10466 COG5; component of oligomeric golgi complex 5
  hsa:10273 STUB1; STIP1 homology and U-box containing protein 1
  hsa:10071 MUC12; mucin 12, cell surface associated
  hsa:11141 IL1RAPL1; interleukin 1 receptor accessory protein like 1
  hsa:1121 CHM; CHM Rab escort protein
  hsa:11336 EXOC3; exocyst complex component 3
  hsa:10640 EXOC5; exocyst complex component 5
  hsa:112755 STX1B; syntaxin 1B
  hsa:10815 CPLX1; complexin 1
  hsa:11059 WWP1; WW domain containing E3 ubiquitin protein ligase 1
  hsa:11151 CORO1A; coronin 1A
  hsa:10717 AP4B1; adaptor related protein complex 4 subunit beta 1
  hsa:11154 AP4S1; adaptor related protein complex 4 subunit sigma 1
  hsa:11069 RAPGEF4; Rap guanine nucleotide exchange factor 4
  hsa:11253 
  hsa:114880 OSBPL6; oxysterol binding protein like 6
  hsa:114548 NLRP3; NLR family pyrin domain containing 3
  hsa:10641 NPRL2; NPR2 like, GATOR1 complex subunit
  hsa:11133 KPTN; kaptin, actin binding protein
  hsa:116442 RAB39B; RAB39B, member RAS oncogene family
  hsa:11152 WDR45; WD repeat domain 45
  hsa:134957 STXBP5; syntaxin binding protein 5
  hsa:1213 CLTC; clathrin heavy chain
  hsa:1173 AP2M1; adaptor related protein complex 2 subunit mu 1
  hsa:1175 AP2S1; adaptor related protein complex 2 subunit sigma 1
  hsa:1487 CTBP1; C-terminal binding protein 1
  hsa:137492 VPS37A; VPS37A subunit of ESCRT-I
  hsa:116987 AGAP1; ArfGAP with GTPase domain, ankyrin repeat and PH domain 1
  hsa:116986 AGAP2; ArfGAP with GTPase domain, ankyrin repeat and PH domain 2
  hsa:122553 TRAPPC6B; trafficking protein particle complex subunit 6B
  hsa:1174 AP1S1; adaptor related protein complex 1 subunit sigma 1
  hsa:128637 TBC1D20; TBC1 domain family member 20
  hsa:1314 COPA; COPI coat complex subunit alpha
  hsa:133746 JMY; junction mediating and regulatory protein, p53 cofactor
  hsa:1742 DLG4; discs large MAGUK scaffold protein 4
  hsa:1759 DNM1; dynamin 1
  hsa:161 AP2A2; adaptor related protein complex 2 subunit alpha 2
  hsa:157680 VPS13B; vacuolar protein sorting 13 homolog B
  hsa:162 AP1B1; adaptor related protein complex 1 subunit beta 1
  hsa:1793 DOCK1; dedicator of cytokinesis 1
  hsa:1795 DOCK3; dedicator of cytokinesis 3
  hsa:1861 TOR1A; torsin family 1 member A
  hsa:1859 DYRK1A; dual specificity tyrosine phosphorylation regulated kinase 1A
  hsa:2218 FKTN; fukutin
  hsa:2055 CLN8; CLN8 transmembrane ER and ERGIC protein
  hsa:1917 EEF1A2; eukaryotic translation elongation factor 1 alpha 2
  hsa:22999 RIMS1; regulating synaptic membrane exocytosis 1
  hsa:23236 PLCB1; phospholipase C beta 1
  hsa:22871 NLGN1; neuroligin 1
  hsa:22829 NLGN4Y; neuroligin 4 Y-linked
  hsa:22930 RAB3GAP1; RAB3 GTPase activating protein catalytic subunit 1
  hsa:23233 EXOC6B; exocyst complex component 6B
  hsa:23025 UNC13A; unc-13 homolog A
  hsa:23054 NCOA6; nuclear receptor coactivator 6
  hsa:23209 MLC1; modulator of VRAC current 1
  hsa:23096 IQSEC2; IQ motif and Sec7 domain ArfGEF 2
  hsa:23167 EFR3A; EFR3 homolog A
  hsa:23046 KIF21B; kinesin family member 21B
  hsa:23102 TBC1D2B; TBC1 domain family member 2B
  hsa:23258 DENND5A; DENN domain containing 5A
  hsa:22878 TRAPPC8; trafficking protein particle complex subunit 8
  hsa:23065 EMC1; ER membrane protein complex subunit 1
  hsa:23001 WDFY3; WD repeat and FYVE domain containing 3
  hsa:23241 PACS2; phosphofurin acidic cluster sorting protein 2
  hsa:22931 RAB18; RAB18, member RAS oncogene family
  hsa:23229 ARHGEF9; Cdc42 guanine nucleotide exchange factor 9
  hsa:25782 RAB3GAP2; RAB3 GTPase activating non-catalytic protein subunit 2
  hsa:23312 DMXL2; Dmx like 2
  hsa:23327 NEDD4L; NEDD4 like E3 ubiquitin protein ligase
  hsa:23362 
  hsa:23426 GRIP1; glutamate receptor interacting protein 1
  hsa:23325 WASHC4; WASH complex subunit 4
  hsa:25839 COG4; component of oligomeric golgi complex 4
  hsa:23431 AP4E1; adaptor related protein complex 4 subunit epsilon 1
  hsa:23732 FRRS1L; ferric chelate reductase 1 like
  hsa:2475 MTOR; mechanistic target of rapamycin kinase
  hsa:23334 SZT2; SZT2 subunit of KICSTOR complex
  hsa:2683 B4GALT1; beta-1,4-galactosyltransferase 1
  hsa:26280 IL1RAPL2; interleukin 1 receptor accessory protein like 2
  hsa:25977 NECAP1; NECAP endocytosis associated 1
  hsa:27131 SNX5; sorting nexin 5
  hsa:27183 VPS4A; vacuolar protein sorting 4 homolog A
  hsa:26960 NBEA; neurobeachin
  hsa:26056 RAB11FIP5; RAB11 family interacting protein 5
  hsa:27315 PGAP2; post-GPI attachment to proteins 2
  hsa:2670 GFAP; glial fibrillary acidic protein
  hsa:27445 PCLO; piccolo presynaptic cytomatrix protein
  hsa:29967 LRP12; LDL receptor related protein 12
  hsa:27352 SGSM3; small G protein signaling modulator 3
  hsa:28952 CCDC22; coiled-coil domain containing 22
  hsa:301 ANXA1; annexin A1
  hsa:322 APBB1; amyloid beta precursor protein binding family B member 1
  hsa:321 APBA2; amyloid beta precursor protein binding family A member 2
  hsa:375 ARF1; ADP ribosylation factor 1
  hsa:3685 ITGAV; integrin subunit alpha V
  hsa:3690 ITGB3; integrin subunit beta 3
  hsa:3265 HRAS; HRas proto-oncogene, GTPase
  hsa:3064 HTT; huntingtin
  hsa:372 ARCN1; archain 1
  hsa:3098 HK1; hexokinase 1
  hsa:3949 LDLR; low density lipoprotein receptor
  hsa:4035 LRP1; LDL receptor related protein 1
  hsa:4036 LRP2; LDL receptor related protein 2
  hsa:3845 KRAS; KRAS proto-oncogene, GTPase
  hsa:440073 IQSEC3; IQ motif and Sec7 domain ArfGEF 3
  hsa:4137 MAPT; microtubule associated protein tau
  hsa:3920 LAMP2; lysosomal associated membrane protein 2
  hsa:3798 KIF5A; kinesin family member 5A
  hsa:3800 KIF5C; kinesin family member 5C
  hsa:394 ARHGAP5; Rho GTPase activating protein 5
  hsa:5058 PAK1; p21 (RAC1) activated kinase 1
  hsa:4952 OCRL; OCRL inositol polyphosphate-5-phosphatase
  hsa:4481 MSR1; macrophage scavenger receptor 1
  hsa:4643 MYO1E; myosin IE
  hsa:4893 NRAS; NRAS proto-oncogene, GTPase
  hsa:4925 NUCB2; nucleobindin 2
  hsa:4644 MYO5A; myosin VA
  hsa:4585 MUC4; mucin 4, cell surface associated
  hsa:4983 OPHN1; oligophrenin 1
  hsa:4650 MYO9B; myosin IXB
  hsa:51760 SYT17; synaptotagmin 17
  hsa:51100 SH3GLB1; SH3 domain containing GRB2 like, endophilin B1
  hsa:50619 DEF6; DEF6 guanine nucleotide exchange factor
  hsa:5119 CHMP1A; charged multivesicular body protein 1A
  hsa:51715 
  hsa:51143 DYNC1LI1; dynein cytoplasmic 1 light intermediate chain 1
  hsa:5147 PDE6D; phosphodiesterase 6D
  hsa:51256 TBC1D7; TBC1 domain family member 7
  hsa:51075 TMX2; thioredoxin related transmembrane protein 2
  hsa:50807 ASAP1; ArfGAP with SH3 domain, ankyrin repeat and PH domain 1
  hsa:51693 TRAPPC2L; trafficking protein particle complex subunit 2L
  hsa:51399 TRAPPC4; trafficking protein particle complex subunit 4
  hsa:51112 TRAPPC12; trafficking protein particle complex subunit 12
  hsa:51124 IER3IP1; immediate early response 3 interacting protein 1
  hsa:51594 NBAS; NBAS subunit of NRZ tethering complex
  hsa:5071 PRKN; parkin RBR E3 ubiquitin protein ligase
  hsa:5076 PAX2; paired box 2
  hsa:51322 WAC; WW domain containing adaptor with coiled-coil
  hsa:5336 PLCG2; phospholipase C gamma 2
  hsa:54413 NLGN3; neuroligin 3
  hsa:54536 EXOC6; exocyst complex component 6
  hsa:5290 PIK3CA; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha
  hsa:5293 PIK3CD; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta
  hsa:5294 PIK3CG; phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
  hsa:5295 PIK3R1; phosphoinositide-3-kinase regulatory subunit 1
  hsa:5296 PIK3R2; phosphoinositide-3-kinase regulatory subunit 2
  hsa:54664 TMEM106B; transmembrane protein 106B
  hsa:54809 SAMD9; sterile alpha motif domain containing 9
  hsa:54551 MAGEL2; MAGE family member L2
  hsa:54808 
  hsa:5195 PEX14; peroxisomal biogenesis factor 14
  hsa:5189 PEX1; peroxisomal biogenesis factor 1
  hsa:5190 PEX6; peroxisomal biogenesis factor 6
  hsa:55681 SCYL2; SCY1 like pseudokinase 2
  hsa:5578 PRKCA; protein kinase C alpha
  hsa:55823 VPS11; VPS11 core subunit of CORVET and HOPS complexes
  hsa:55275 VPS53; VPS53 subunit of GARP complex
  hsa:55773 TBC1D23; TBC1 domain family member 23
  hsa:55187 VPS13D; vacuolar protein sorting 13 homolog D
  hsa:55690 PACS1; phosphofurin acidic cluster sorting protein 1
  hsa:55858 TMEM165; transmembrane protein 165
  hsa:55165 CEP55; centrosomal protein 55
  hsa:5515 PPP2CA; protein phosphatase 2 catalytic subunit alpha
  hsa:57524 CASKIN1; CASK interacting protein 1
  hsa:57555 NLGN2; neuroligin 2
  hsa:57502 NLGN4X; neuroligin 4 X-linked
  hsa:57154 SMURF1; SMAD specific E3 ubiquitin protein ligase 1
  hsa:57465 TBC1D24; TBC1 domain family member 24
  hsa:57511 COG6; component of oligomeric golgi complex 6
  hsa:56975 FAM20C; FAM20C golgi associated secretory pathway kinase
  hsa:56899 ANKS1B; ankyrin repeat and sterile alpha motif domain containing 1B
  hsa:56270 WDR45B; WD repeat domain 45B
  hsa:55930 MYO5C; myosin VC
  hsa:57514 ARHGAP31; Rho GTPase activating protein 31
  hsa:57572 DOCK6; dedicator of cytokinesis 6
  hsa:5873 RAB27A; RAB27A, member RAS oncogene family
  hsa:5830 PEX5; peroxisomal biogenesis factor 5
